logged_at,symbol,decision,setup_type,ready,confidence,price_change_pct,funding_rate_pct,market_regime,entry_low,entry_high,stop_loss,target_1,target_2,invalidation,summary
2026-04-08T17:58:58.410160+00:00,DAMUSDT,LONG,trend continuation,1,78,18.7810,0.005000,bullish,0.0548477467,0.0575400000,0.0519651071,0.0638056526,0.0688801721,15m kapanis EMA20 altina inerse setup zayiflar.,"4h ve 1h trend ayni yonde, 15m momentum gucleniyor ve hacim teyidi var."
2026-04-08T17:58:58.410160+00:00,EULUSDT,WAIT,no clean setup,0,67,16.7370,0.000750,bullish,,,,,,Temiz retest veya yon teyidi gelmeden islem yok.,fiyat 15m EMA20'den cok uzak
2026-04-08T17:58:58.410160+00:00,TAKEUSDT,WAIT,no clean setup,0,67,16.0730,0.006181,bullish,,,,,,Temiz retest veya yon teyidi gelmeden islem yok.,1h ve 4h yon uyumu zayif; hacim teyidi yetersiz
2026-04-08T17:58:58.410160+00:00,CLOUSDT,WAIT,no clean setup,0,67,14.9500,0.005000,bullish,,,,,,Temiz retest veya yon teyidi gelmeden islem yok.,hacim teyidi yetersiz
2026-04-08T17:58:58.410160+00:00,MAGMAUSDT,WAIT,no clean setup,0,56,34.7380,0.066751,bullish,,,,,,Temiz retest veya yon teyidi gelmeden islem yok.,1h ve 4h yon uyumu zayif; fiyat 15m EMA20'den cok uzak; hacim teyidi yetersiz; long icin funding fazla yuksek
2026-04-08T17:58:58.410160+00:00,COMPUSDT,WAIT,no clean setup,0,56,14.5870,-0.058378,bullish,,,,,,Temiz retest veya yon teyidi gelmeden islem yok.,1h ve 4h yon uyumu zayif; fiyat 15m EMA20'den cok uzak; hacim teyidi yetersiz
2026-04-08T17:58:58.410160+00:00,XPINUSDT,WAIT,no clean setup,0,44,17.6150,0.011210,bullish,,,,,,Temiz retest veya yon teyidi gelmeden islem yok.,1h ve 4h yon uyumu zayif; fiyat 15m EMA20'den cok uzak; hacim teyidi yetersiz
2026-04-08T17:58:58.410160+00:00,ATAUSDT,WAIT,no clean setup,0,44,14.9820,0.010000,bullish,,,,,,Temiz retest veya yon teyidi gelmeden islem yok.,1h ve 4h yon uyumu zayif; hacim teyidi yetersiz
2026-04-08T17:58:58.410160+00:00,USELESSUSDT,WAIT,no clean setup,0,44,14.8490,0.005000,bullish,,,,,,Temiz retest veya yon teyidi gelmeden islem yok.,1h ve 4h yon uyumu zayif; hacim teyidi yetersiz
2026-04-08T17:58:58.410160+00:00,RAVEUSDT,WAIT,no clean setup,0,44,14.0950,0.022868,bullish,,,,,,Temiz retest veya yon teyidi gelmeden islem yok.,1h ve 4h yon uyumu zayif; hacim teyidi yetersiz
